Name,campaignId,companyName,AdExtension_Type,id,source,phoneNumber,address,iconMediaId,id,email,shouldSyncUrl,iconMediaId,AdExtension_Type,phoneNumber,isCallOnly,AdExtension_Type,countryCode,id,id,sitelinks,AdExtension_Type,network,Stats_Type
Mason,78400219,AlphaGraphics Mason,LocationExtension,91927699,ADWORDS_FRONTEND,(888) 319-9339,"7288 Central Parke Blvd, Mason, OH, US, 45040",1000,N/A,N/A,N/A,N/A,LocationExtension,N/A,N/A,LocationExtension,N/A,N/A,N/A,N/A,LocationExtension,ALL,CampaignAdExtensionStats
Mason,78400219,N/A,MobileExtension,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,MobileExtension,(888) 319-9339,false,MobileExtension,US,91927819,N/A,N/A,MobileExtension,ALL,CampaignAdExtensionStats
Mason,78400339,AlphaGraphics Mason,LocationExtension,91927699,ADWORDS_FRONTEND,(888) 319-9339,"7288 Central Parke Blvd, Mason, OH, US, 45040",1000,N/A,N/A,N/A,N/A,LocationExtension,N/A,N/A,LocationExtension,N/A,N/A,N/A,N/A,LocationExtension,ALL,CampaignAdExtensionStats
Mason,78400339,N/A,MobileExtension,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,MobileExtension,(888) 319-9339,false,MobileExtension,US,91927819,N/A,N/A,MobileExtension,ALL,CampaignAdExtensionStats
Chicagoland - Bannockburn,59612610,AlphaGraphics Bannockburn Deerfield,LocationExtension,28080090,ADWORDS_FRONTEND,(888) 571-7753,"2561 Waukegan Road, Bannockburn, IL, US, 60015",1000,N/A,N/A,N/A,N/A,LocationExtension,N/A,N/A,LocationExtension,N/A,N/A,N/A,N/A,LocationExtension,ALL,CampaignAdExtensionStats
Chicagoland - Bannockburn,59612610,N/A,MobileExtension,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,MobileExtension,(888) 571-7753,true,MobileExtension,US,69762090,N/A,N/A,MobileExtension,ALL,CampaignAdExtensionStats
Chicagoland - Bannockburn,59612730,AlphaGraphics Bannockburn Deerfield,LocationExtension,28082010,ADWORDS_FRONTEND,(888) 571-7753,"2561 Waukegan Road, Bannockburn, IL, US, 60015",1000,N/A,N/A,N/A,N/A,LocationExtension,N/A,N/A,LocationExtension,N/A,N/A,N/A,N/A,LocationExtension,ALL,CampaignAdExtensionStats
Chicagoland - Bannockburn,59612730,N/A,MobileExtension,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,MobileExtension,(888) 571-7753,true,MobileExtension,US,69762090,N/A,N/A,MobileExtension,ALL,CampaignAdExtensionStats
New Bedford,48291981,AlphaGraphics New Bedford,LocationExtension,40493571,ADWORDS_FRONTEND,1 (888) 875-1499,"827 Rockdale Ave., New Bedford, MA, US, 02740",1000,N/A,N/A,N/A,N/A,LocationExtension,N/A,N/A,LocationExtension,N/A,N/A,N/A,N/A,LocationExtension,ALL,CampaignAdExtensionStats
New Bedford,48291981,N/A,MobileExtension,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,MobileExtension,(888) 875-1499,false,MobileExtension,US,77822061,N/A,N/A,MobileExtension,ALL,CampaignAdExtensionStats
New Bedford,48291981,Alpha Graphics,LocationExtension,79068831,ADWORDS_FRONTEND,(888) 875-1499,"827 Rockdale Ave, New Bedford, MA, US, 02740",1000,N/A,N/A,N/A,N/A,LocationExtension,N/A,N/A,LocationExtension,N/A,N/A,N/A,N/A,LocationExtension,ALL,CampaignAdExtensionStats
New Bedford,48292071,AlphaGraphics New Bedford,LocationExtension,40493481,ADWORDS_FRONTEND,1 (888) 875-1499,"827 Rockdale Ave., New Bedford, MA, US, 02740",1000,N/A,N/A,N/A,N/A,LocationExtension,N/A,N/A,LocationExtension,N/A,N/A,N/A,N/A,LocationExtension,ALL,CampaignAdExtensionStats
New Bedford,48292071,N/A,MobileExtension,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,MobileExtension,(888) 875-1499,false,MobileExtension,US,77745741,N/A,N/A,MobileExtension,ALL,CampaignAdExtensionStats
New Bedford,48292071,Alpha Graphics,LocationExtension,79068741,ADWORDS_FRONTEND,(888) 875-1499,"827 Rockdale Ave, New Bedford, MA, US, 02740",1000,N/A,N/A,N/A,N/A,LocationExtension,N/A,N/A,LocationExtension,N/A,N/A,N/A,N/A,LocationExtension,ALL,CampaignAdExtensionStats
Sunnyvale,37600260,Alpha Graphics,LocationExtension,25541790,ADWORDS_FRONTEND,(866) 419-3200,"1294 Anvilwood Ct., Sunnyvale, CA, US, 94089",1000,N/A,N/A,N/A,N/A,LocationExtension,N/A,N/A,LocationExtension,N/A,N/A,N/A,N/A,LocationExtension,ALL,CampaignAdExtensionStats
Sunnyvale,37600260,N/A,MobileExtension,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,MobileExtension,(866) 419-3200,true,MobileExtension,US,73090740,N/A,N/A,MobileExtension,ALL,CampaignAdExtensionStats
Sunnyvale,37600350,N/A,LocationSyncExtension,N/A,N/A,N/A,N/A,N/A,83310,jlerner@alphagraphics.com,false,1000,LocationSyncExtension,N/A,N/A,LocationSyncExtension,N/A,N/A,N/A,N/A,LocationSyncExtension,ALL,CampaignAdExtensionStats
Sunnyvale,37600350,AlphaGraphics Sunnyvale,LocationExtension,83400,ADWORDS_FRONTEND,N/A,"1294 Anvilwood Ave, Sunnyvale, CA, US, 94089",1000,N/A,N/A,N/A,N/A,LocationExtension,N/A,N/A,LocationExtension,N/A,N/A,N/A,N/A,LocationExtension,ALL,CampaignAdExtensionStats
Sunnyvale,37600350,AlphaGraphics Sunnyvale,LocationExtension,83490,ADWORDS_FRONTEND,1 (866) 419-3200,"1294 Anvilwood Ave, Sunnyvale, CA, US, 94089",1000,N/A,N/A,N/A,N/A,LocationExtension,N/A,N/A,LocationExtension,N/A,N/A,N/A,N/A,LocationExtension,ALL,CampaignAdExtensionStats
Sunnyvale,37600350,Alpha Graphics,LocationExtension,25541700,ADWORDS_FRONTEND,(866) 419-3200,"1294 Anvilwood Ct., Sunnyvale, CA, US, 94089",1000,N/A,N/A,N/A,N/A,LocationExtension,N/A,N/A,LocationExtension,N/A,N/A,N/A,N/A,LocationExtension,ALL,CampaignAdExtensionStats
Sunnyvale,37600350,AlphaGraphics Sunnyvale,LocationExtension,37517220,ADWORDS_FRONTEND,(866) 419-3200,"1294 Anvilwood Ave, Sunnyvale, CA, US",1010,N/A,N/A,N/A,N/A,LocationExtension,N/A,N/A,LocationExtension,N/A,N/A,N/A,N/A,LocationExtension,ALL,CampaignAdExtensionStats
Sunnyvale,37600350,N/A,MobileExtension,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,MobileExtension,(866) 419-3200,true,MobileExtension,US,73090740,N/A,N/A,MobileExtension,ALL,CampaignAdExtensionStats
Sunnyvale,40077510,AlphaGraphics Sunnyvale,LocationExtension,1575780,ADWORDS_FRONTEND,1 (866) 419-3200,"1294 Anvilwood Ave, Sunnyvale, CA, US",1010,N/A,N/A,N/A,N/A,LocationExtension,N/A,N/A,LocationExtension,N/A,N/A,N/A,N/A,LocationExtension,ALL,CampaignAdExtensionStats
Sunnyvale,40077510,Alpha Graphics,LocationExtension,25541610,ADWORDS_FRONTEND,(866) 419-3200,"1294 Anvilwood Ct., Sunnyvale, CA, US, 94089",1000,N/A,N/A,N/A,N/A,LocationExtension,N/A,N/A,LocationExtension,N/A,N/A,N/A,N/A,LocationExtension,ALL,CampaignAdExtensionStats
Sunnyvale,40077510,AlphaGraphics Sunnyvale,LocationExtension,37517340,ADWORDS_FRONTEND,(866) 419-3200,"1294 Anvilwood Ave, Sunnyvale, CA, US",1010,N/A,N/A,N/A,N/A,LocationExtension,N/A,N/A,LocationExtension,N/A,N/A,N/A,N/A,LocationExtension,ALL,CampaignAdExtensionStats
Sunnyvale,40077510,N/A,MobileExtension,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,MobileExtension,(866) 419-3200,true,MobileExtension,US,73090740,N/A,N/A,MobileExtension,ALL,CampaignAdExtensionStats
St. Charles,76573177,AlphaGraphics St. Charles,LocationExtension,18505057,ADWORDS_FRONTEND,(888) 496-4933,"Foxfield Commons Shopping Center, St. Charles, IL, US, 60174",1000,N/A,N/A,N/A,N/A,LocationExtension,N/A,N/A,LocationExtension,N/A,N/A,N/A,N/A,LocationExtension,ALL,CampaignAdExtensionStats
St. Charles,76573177,N/A,MobileExtension,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,MobileExtension,(888) 496-4933,true,MobileExtension,US,24464857,N/A,N/A,MobileExtension,ALL,CampaignAdExtensionStats
St. Charles,76573297,AlphaGraphics St. Charles,LocationExtension,18505057,ADWORDS_FRONTEND,(888) 496-4933,"Foxfield Commons Shopping Center, St. Charles, IL, US, 60174",1000,N/A,N/A,N/A,N/A,LocationExtension,N/A,N/A,LocationExtension,N/A,N/A,N/A,N/A,LocationExtension,ALL,CampaignAdExtensionStats
St. Charles,76573297,N/A,MobileExtension,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,MobileExtension,(888) 496-4933,true,MobileExtension,US,24464857,N/A,N/A,MobileExtension,ALL,CampaignAdExtensionStats
